id,value
STRATEGIES.Adaptivehypermediasystems(AHS).issn=2307_4108,1
STRATEGIES.CoalitionFormationAlgorithm,
STRATEGIES.CoalitionFormationAlgorithm.10*1007/s11257_011_9106_8,1
STRATEGIES.CoalitionFormationAlgorithm.10*1007/s12257_012_3105_8,1
STRATEGIES.CoalitionFormationAlgorithm.10*1075/csed*12*3*247*3837,1
STRATEGIES.CoalitionFormationAlgorithm.10*1076/csed*12*3*197*8618,1
STRATEGIES.CoalitionFormationAlgorithm.10*1109/FIE*2006*322313,1
STRATEGIES.CoalitionFormationAlgorithm.10*1145/2676723*2691877,1
STRATEGIES.CoalitionFormationAlgorithm.10*1145/2787622*2787731,1
STRATEGIES.CoalitionFormationAlgorithm.10*1145/2839509*2844615,1
STRATEGIES.CoalitionFormationAlgorithm.10*1145/3159450*3159518,1
STRATEGIES.CoalitionFormationAlgorithm.10*1203/FIE*2005*322313,1
STRATEGIES.CoalitionFormationAlgorithm.10*1203/SII*2015*8273283,1
STRATEGIES.CoalitionFormationAlgorithm.10*1203/TLT*2003*50,1
STRATEGIES.CoalitionFormationAlgorithm.10*1203/TLT*2010*28,1
STRATEGIES.CoalitionFormationAlgorithm.10*1203/TLT*2012*2,1
STRATEGIES.CoalitionFormationAlgorithm.10*1245/2325235*2325338,1
STRATEGIES.CoalitionFormationAlgorithm.10*1245/2408775*2408787,1
STRATEGIES.CoalitionFormationAlgorithm.10*1245/2408775*2408787,1
STRATEGIES.CoalitionFormationAlgorithm.issn=2307_4108,1
STRATEGIES.CoalitionFormationAlgorithm.github/DA0155/CourseraCleanData_HumanActivity,1
STRATEGIES.CoalitionFormationAlgorithm.github/MariannaAtPlay/reactnd_project_would_you_rather,1
STRATEGIES.CoalitionFormationAlgorithm.github/terrettaz/coursera_scalashop,1
STRATEGIES.CoalitionFormationAlgorithm.github/mrtamtam314/RProgrammingAssignment2,1
STRATEGIES.CoalitionFormationAlgorithm.github/Starkey19/PT_Coursework,1
STRATEGIES.CoalitionFormationAlgorithm.github/alandickinson/reactnd_myreads,1
STRATEGIES.CoalitionFormationAlgorithm.github/mch649/ProgrammingAssignment2,1
STRATEGIES.CoalitionFormationAlgorithm.github/qlibin/posa_15_assignment3_studio,1
STRATEGIES.CoalitionFormationAlgorithm.github/ksrdj/coursera_r_programming_peer_assessment_1,1
STRATEGIES.CoalitionFormationAlgorithm.github/CarlosSaraiva/bndPssFltr,1
STRATEGIES.CoalitionFormationAlgorithm.github/agileronin/coursera_r_programming_peer_assessment_1,1
STRATEGIES.CoalitionFormationAlgorithm.github/Deirdre18/Professional_Portfolio_Website_GMIT_,1
STRATEGIES.CoalitionFormationAlgorithm.github/mlopezbuendia/CreativeProgrammingA1,1
STRATEGIES.CoalitionFormationAlgorithm.github/JasperDre/Honeybees,1
