id,value
Categories,
Categories.Application_Programming_Interface,
Categories.Application_Programming_Interface.https://github/xrd/ChitStat,1
Categories.Application_Programming_Interface.https://github/HerculesWS/Hercules,1
Categories.Application_Programming_Interface.https://github/ajzdunek/whatsForDinner-App,1
Categories.Application_Programming_Interface.https://github/ctuning/ctuning-datasets-min,1
Categories.Application_Programming_Interface.https://github/MikeTheWatchGuy/PySimpleGUI,1
Categories.Application_Programming_Interface.https://github/Re1tReddy/Spark,1
Categories.Application_Programming_Interface.https://github/Lyyoness/CS156-Machine-Learning,1
Categories.Application_Programming_Interface.https://github/SushmitaY/Algorithm-assignment,1
Categories.Application_Programming_Interface.https://github/mlopezbuendia/CreativeProgrammingA1,1
Categories.Application_Programming_Interface.https://github/shane1027/Learning_CPP,1
Categories.Application_Programming_Interface.https://github/JaclynNoga/AppliedLearningAssessment,1
Categories.Application_Programming_Interface.https://github/mrkwse/MLAP-OA,1
