id,value
CATEGORIES,
CATEGORIES.PAPERS,
CATEGORIES.PAPERS.10_1_1_167_4896,
CATEGORIES.PAPERS.10_1_1_167_4896.Academic_courses,1
CATEGORIES.PAPERS.10_1002/cae_21655,
CATEGORIES.PAPERS.10_1002/cae_21655.Academic_courses,1
CATEGORIES.PAPERS.10_1002/cae_21655.Development_of_tools,1
CATEGORIES.PAPERS.10_1002/cae_21832,
CATEGORIES.PAPERS.10_1002/cae_21832.Development_of_tools,1
CATEGORIES.PAPERS.10_1007/378-3-313-31743-5_25,
CATEGORIES.PAPERS.10_1007/378-3-313-31743-5_25.Games_for_learning,1
CATEGORIES.PAPERS.10_1007/978-3-319-91743-6_26,
CATEGORIES.PAPERS.10_1007/978-3-319-91743-6_26.Platforms,1
CATEGORIES.PAPERS.10_1007/978-3-642-41347-6,
CATEGORIES.PAPERS.10_1007/978-3-642-41347-6.Development_of_tools,1
CATEGORIES.PAPERS.10_1007/s40593-016-0107-y,
CATEGORIES.PAPERS.10_1007/s40593-016-0107-y.Games_for_learning,1
CATEGORIES.PAPERS.10_1015/J_CHB_2013_04_030,
CATEGORIES.PAPERS.10_1015/J_CHB_2013_04_030.Development_of_tools,1
CATEGORIES.PAPERS.10_1016/J_CHB_2013_04_030,
CATEGORIES.PAPERS.10_1016/J_CHB_2013_04_030.Games_for_learning,1
CATEGORIES.PAPERS.10_1016/j_procs_2014_12_021,
CATEGORIES.PAPERS.10_1016/j_procs_2014_12_021.Games_for_learning,1
CATEGORIES.PAPERS.10_1075/csed_12_3_137_8518,
CATEGORIES.PAPERS.10_1075/csed_12_3_137_8518.Development_of_tools,1
CATEGORIES.PAPERS.10_1109/FIE_2006_322313,
CATEGORIES.PAPERS.10_1109/FIE_2006_322313.Academic_courses,1
CATEGORIES.PAPERS.10_1109/FIE_2007_4418095,
CATEGORIES.PAPERS.10_1109/FIE_2007_4418095.Academic_courses,1
CATEGORIES.PAPERS.10_1109/ICALT_2003_1215118,
CATEGORIES.PAPERS.10_1109/ICALT_2003_1215118.Platforms,1
CATEGORIES.PAPERS.10_1109/SII_2017_8279283,
CATEGORIES.PAPERS.10_1109/SII_2017_8279283.Academic_courses,1
