id,value
Artificial,
Artificial.Academiccourses,
Artificial.Academiccourses.susana-beat-visualizer,1
Artificial.Academiccourses.codejamninja-jams-programming-guide,1
Artificial.Academiccourses.gleneivey-pairmatic2,1
Artificial.Academiccourses.drawpile-Drawpile,1
Artificial.Academiccourses.rroohhh-draw,1
Artificial.Academiccourses.code-friends-CodeFriends,1
Artificial.Academiccourses.ugwis-AtCoder-Recommendation,1
Artificial.Academiccourses.ehaughee-collabit,1
Artificial.Academiccourses.1j01-multifiddle,1
Artificial.Academiccourses.thisandagain-turtle,1
Artificial.Academiccourses.Starmonkeys-website,1
Artificial.Academiccourses.silshack-fall2013,1
Artificial.Academiccourses.amber-amber,1
Artificial.Academiccourses.joeljfischer-meteor-collabmirror,1
Artificial.Academiccourses.nebigdatahub-crux,1
Artificial.Academiccourses.otaruMendez-XtremeX,1
